,name,brewery,style,abv,ibu,rating,raters,date,text
53,Blind,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.76),32 Ratings,Added 10/20/18,Date Mead
54,Lights Out,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.66),32 Ratings,Added 10/19/18,A version of Blind (date mead) that was aged for several months in a used Raspberry Quiet Giant barrel from Imperial Oak brewing. The resulting aging… Read More
55,Wild Card Series - Blueberry Vanilla,https://untappd.com/PipsMeadery,Mead - Other,7% ABV,N/A IBU,(4.24),36 Ratings,Added 03/16/18,"Lacto Soured Mead - Made with Sourwood honey, blueberries and vanilla beans. Aged on American Oak."
56,Old Timey Root Beer,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.53),30 Ratings,Added 12/15/17,Mead made with spices and aged on rum soaked oak chips
57,Smoke & Mirrors,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.56),32 Ratings,Added 08/26/18,Mead with maple syrup and bacon
58,Dead Man's Hand (Barrel Aged),https://untappd.com/PipsMeadery,Mead - Other,15% ABV,N/A IBU,(4.64),25 Ratings,Added 01/19/17,Mead with Coconut and Cacao Nibs aged in Rye Whiskey Barrels
59,Black Forest,https://untappd.com/PipsMeadery,Mead - Other,N/A ABV,N/A IBU,(4.76),31 Ratings,Added 07/19/18,"Mead with black licorice, peppermint leaves, and vanilla."
60,Strawngberry,https://untappd.com/PipsMeadery,Mead - Melomel,19.2% ABV,N/A IBU,(4.73),30 Ratings,Added 09/08/18,"Starting with >200lbs of hand-picked strawberries, followed by a step feeding protocol with honey to try to maximize the combination of both abv and viscosity Read More"
61,Hesitation,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.84),27 Ratings,Added 12/06/18,Blueberry Mead aged on Vermouth Staves/in ex Vermouth Barrels
62,Sourwood,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.72),19 Ratings,Added 06/24/17,14% mead made with sourwood honey
63,Ace High,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(4.5),19 Ratings,Added 05/31/16,14% Honey-Wine made with Orange Blossom Honey and Acai Berries
64,Apricadabra,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(4.85),10 Ratings,Added 06/12/17,14% Mead made with Apricots and Orange Blossom Honey
65,46 + Moar,https://untappd.com/PipsMeadery,Mead - Other,N/A ABV,N/A IBU,(4.65),10 Ratings,Added 03/18/17,46 + 2 aged for an extended period
66,Overboard,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(5),10 Ratings,Added 12/06/18,"Mead with Strawberry, Banana and Vanilla Beans"
67,Orange Blossom,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(N/A),8 Ratings,Added 12/09/17,14% Traditional Mead made with Orange Blossom Honey
68,A Man & His Mjød,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(5),10 Ratings,Added 04/23/18,Wild flower traditional aged in a buffalo trace barrel that last held an Imperial Chai stout from Central Waters for 2 years. With cinnamon added.
69,Dead Man's Hand,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(N/A),3 Ratings,Added 04/29/16,14% Mead made with Coconut and Cacao Nibs
70,Rolling Meadows,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(N/A),4 Ratings,Added 05/31/16,14% Traditional Honey-Wine made with Meadowfoam Honey
71,Back To Basics,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(N/A),4 Ratings,Added 09/10/16,14% Texas Wildflower honey wine aged with ORVW10 soaked oak chips
72,Dovetail,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(N/A),7 Ratings,Added 12/30/18,Grapefruit mead with Ginger and Brown Sugar
73,Blueberry Blossom,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(N/A),2 Ratings,Added 06/24/17,14% mead made with Blueberry Blossom honey
74,Chocolate Pancake,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(N/A),1 Rating,Added 12/06/18,Mead with Natural Flavors
75,Black Currant Bourbon Pancake,https://untappd.com/PipsMeadery,Mead - Melomel,14% ABV,N/A IBU,(N/A),1 Rating,Added 01/01/19,"Mead with Black Currants, Toasted Marshmallows, Maple Syrup, Cinnamon, Bourbon Soaked Oak Chips, and Natural Flavors"
76,Moiety,https://untappd.com/PipsMeadery,Mead - Other,14% ABV,N/A IBU,(N/A),0 Rating,Added 01/10/19,Mango mead with Vanilla Beans
77,The Statement,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.45),"6,383 Ratings",Added 09/02/13,"An exploration of the depth of flavor that can be had in this dark-fleshed cherry which originated in Hungary. The Statement pairs well with grilled pork,… Read More"
78,Black Agnes,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.68),"4,946 Ratings",Added 01/17/14,"""Black"" Agnes Randolph successfully defended the Scottish Castle of Dunbar from a five-month siege by William Montague, the Earl of Salisbury. Black Agnes… Read More"
79,Raspberry,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.35),"3,925 Ratings",Added 09/27/13,"Schramm’s Raspberry is a raspberry mead made from whole Michigan raspberries and Orange Blossom honey purchased directly from Fruitwood Orchards, a New… Read More"
80,Blackberry,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.34),"4,164 Ratings",Added 08/06/13,"Schramm's Blackberry Mead is made with raw, unfiltered honey and whole blackberries. It is an intensely fruity, medium sweet melomel with vanilla and… Read More"
81,Red Agnes,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.63),"3,005 Ratings",Added 01/23/16,
82,Nutmeg,https://untappd.com/SchrammsMead,Mead - Metheglin,13% ABV,14 IBU,(4.19),"2,353 Ratings",Added 06/09/14,"Schramm’s Nutmeg utilizes the seed of a tropical evergreen, Myristica fragrans, native to the islands of Indonesia. Its aroma is warm, creamy and full-bodied,… Read More"
83,Ginger,https://untappd.com/SchrammsMead,Mead - Other,N/A ABV,N/A IBU,(4.03),"2,153 Ratings",Added 08/06/13,"This signature mead is flavored with pure, grated ginger root and 100% natural California Orange Blossom Honey. It balances sweetness and acidity, with… Read More"
84,A Smile of Fortune,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.71),"1,806 Ratings",Added 08/06/16,"A Smile of Fortune is a dark fruit melomel containing Black Currants, Lutowka Cherries, Heritage Red Raspberries and Oregon Boysenberries. Intensely bold… Read More"
85,The Heart Of Darkness,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.82),"1,576 Ratings",Added 09/20/13,"The Heart of Darkness is perhaps the most highly sought after, hand-crafted honey wine in the world today. This melomel is crafted from Belgian dark,… Read More"
86,Amelia,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.52),"1,492 Ratings",Added 04/26/15,"Sweet, tart, beautiful and well-balanced, Amelia is the most recent addition to our Schramm's Mead family. In the early 1880's Santa Cruz fruit breeder… Read More"
87,Marionberry,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.41),"1,360 Ratings",Added 10/02/16,
88,Red Agnes (Batch 2),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.66),"1,174 Ratings",Added 09/29/16,"Schramm's Red Agnes is more finely balanced and perceivably less sweet than her Scottish cousin, Black Agnes. Red Currants provide deep floral aromatics,… Read More"
89,Black Agnes (Batch 8),https://untappd.com/SchrammsMead,Mead - Melomel,11% ABV,N/A IBU,(4.78),"1,059 Ratings",Added 10/18/17,
90,Erik The Red,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.49),821 Ratings,Added 12/01/13,A delicious combination of tart Michigan cherries and raspberries.
91,The Rebuttal,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.64),738 Ratings,Added 02/12/17,The Statement aged on Mindo cocoa nibs and Madagascar vanilla beans in a bourbon barrel
92,Madeline (1st Birthday),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.61),751 Ratings,Added 03/09/16,Boysenberry melomel.
93,Heritage (Batch 3),https://untappd.com/SchrammsMead,Mead - Melomel,12.5% ABV,N/A IBU,(4.61),765 Ratings,Added 06/14/18,"Schramm’s Heritage Raspberry is a cousin to our standard Raspberry melomel, made exclusively with Heritage raspberries, the same variety used in Schramm’s… Read More"
94,Madeline (3rd Birthday),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.66),761 Ratings,Added 05/04/18,
95,Peach,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(3.96),505 Ratings,Added 12/07/13,"Schramm's Peach is a medium body melomel with airy aromatic temperament. The creamy, smooth finish of this melomel pairs well with salads and mild fish… Read More"
96,Apple Reserve,https://untappd.com/SchrammsMead,Mead - Cyser,14% ABV,N/A IBU,(4.58),590 Ratings,Added 09/03/16,
97,Sarah,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.71),584 Ratings,Added 09/29/16,"Sarah is the perfect combination of sweet and sass - the soft florality of ripe fruit, and the zesty twangs that give raspberries and cranberries their… Read More"
98,Lord Jim,https://untappd.com/SchrammsMead,Mead - Other,14% ABV,N/A IBU,(4.48),566 Ratings,Added 03/14/16,"Lord Jim represents an evolution of flavor for Schramm’s Ginger mead. Aged in hand-selected bourbon barrels, this mead typifies pure ginger root and floral… Read More"
99,Cranberry,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.55),506 Ratings,Added 04/27/15,
100,The Statement Reserve,https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.79),440 Ratings,Added 11/09/13,The Statement Reserve was conceived and crafted to be the purest embodiment of the Schaarbeek cherries and premium honey used in its creation. The deep… Read More
101,Black Heart,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.16),486 Ratings,Added 10/17/13,"Black raspberries combine the acidic tension of red raspberries with the deep, earthy character of blackberries. These hard to come by berries, quality… Read More"
102,Apple,https://untappd.com/SchrammsMead,Mead - Cyser,14% ABV,N/A IBU,(4.32),416 Ratings,Added 09/27/13,Schramm's Apple has the simplest of recipes: fresh pressed apple juice & raw honey. More than 30 modern and heirloom apple varieties are pressed to create… Read More
103,Elderberry,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.35),454 Ratings,Added 01/24/16,
104,Blackberry Sec,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(3.87),353 Ratings,Added 01/11/14,"Schramm's Blackberry Sec is made with raw, unfiltered honey and whole blackberries. It is an intensely fruity, dry melomel with vanilla and almond aromatics.… Read More"
105,Erik the Red (Batch 2) (2018),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.5),396 Ratings,Added 01/21/18,
106,Amelia (2nd Birthday),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.56),332 Ratings,Added 02/11/18,
107,Red Agnes (Batch 3),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.58),308 Ratings,Added 08/04/18,Red Currant Melomel
108,Sarah (Batch Two),https://untappd.com/SchrammsMead,Mead - Melomel,12% ABV,N/A IBU,(4.72),262 Ratings,Added 08/04/18,Cranberry and Raspberry Melomel
109,Plum,https://untappd.com/SchrammsMead,Mead - Other,14% ABV,N/A IBU,(4.16),164 Ratings,Added 08/02/14,
110,Apple Crisp,https://untappd.com/SchrammsMead,Mead - Cyser,10% ABV,N/A IBU,(4.27),223 Ratings,Added 10/31/15,"With Cinnamon, Nutmeg, and Vanilla."
111,The Response,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.7),180 Ratings,Added 08/06/16,
112,Small Batch Ginger,https://untappd.com/SchrammsMead,Mead - Other,14% ABV,N/A IBU,(4.29),127 Ratings,Added 07/11/14,
113,Apple Reserve (Steinberger),https://untappd.com/SchrammsMead,Mead - Cyser,N/A ABV,N/A IBU,(4.3),152 Ratings,Added 10/01/16,
114,Apple Reserve (71-B),https://untappd.com/SchrammsMead,Mead - Cyser,N/A ABV,N/A IBU,(4.62),156 Ratings,Added 10/01/16,
115,Blackberry (Batch 5),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.51),165 Ratings,Added 09/23/17,2017 Said to be Ken's favorite batch to date.
116,Black Heart (Batch 5),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.16),152 Ratings,Added 08/03/18,
117,The Rocket,https://untappd.com/SchrammsMead,Mead - Other,N/A ABV,N/A IBU,(4.35),135 Ratings,Added 08/01/15,Pineapple Mead
118,Tasmanian Leatherwood Traditional,https://untappd.com/SchrammsMead,Mead - Other,14% ABV,N/A IBU,(4.23),132 Ratings,Added 03/27/16,
119,Blueberry,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.52),134 Ratings,Added 09/30/17,
120,Blackberry (Batch 4),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.49),124 Ratings,Added 05/29/16,Evergreen & Marion Blackberry version.
121,Apple Reserve (Safale US-05),https://untappd.com/SchrammsMead,Mead - Cyser,N/A ABV,N/A IBU,(4.59),126 Ratings,Added 10/01/16,
122,Kochanie,https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.35),128 Ratings,Added 09/30/17,"A play on the word honey, Kochanie is Polish for ""my love"" or ""my sweet."" This tart mead is made with the highest quality Polish red currants and Lutowka… Read More"
123,Chrissie,https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.54),131 Ratings,Added 09/28/18,Red & Black Currant
124,Bramble Batch 1,https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.53),136 Ratings,Added 09/28/18,Four bramble berries.
125,Black Heart (Batch 3),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.11),110 Ratings,Added 01/29/15,"Schramm’s Black Heart is a nearly opaque mead, made with black raspberries and premium honey. The distinctly acidic and earthy character of black raspberries… Read More"
126,Aroniaberry,https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.12),112 Ratings,Added 05/07/16,
127,Blueberry Pie,https://untappd.com/SchrammsMead,Mead - Other,N/A ABV,N/A IBU,(4.49),108 Ratings,Added 10/02/16,
128,Indigo (Batch 1),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.45),125 Ratings,Added 12/16/18,Indigo the mead is as intriguing and complex as the spectral color - Orange blossom honey fermented with ripe blueberries from the Pacific Northwest and… Read More
129,Nutmeg Batch 3,https://untappd.com/SchrammsMead,Mead - Metheglin,N/A ABV,N/A IBU,(4.35),116 Ratings,Added 12/16/17,East Indies Nutmeg
130,Patience,https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.42),108 Ratings,Added 10/01/17,Gooseberry Mead.
131,Marionberry (Batch 2),https://untappd.com/SchrammsMead,Mead - Other,N/A ABV,N/A IBU,(4.39),104 Ratings,Added 08/05/18,
132,Ginger (Batch 2),https://untappd.com/SchrammsMead,Mead - Metheglin,14% ABV,N/A IBU,(4.25),98 Ratings,Added 04/22/15,"Schramm’s Ginger is a full-throated, unapologetic expression of pure grated ginger and honey. Honey sweetness is balanced by full ginger flavor with a… Read More"
133,The Rocket (71-B),https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.4),102 Ratings,Added 04/20/17,The Rocket pineapple melomel with a unique yeast strain.
134,The Rocket (T-306),https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.39),102 Ratings,Added 04/20/17,The Rocket pineapple melomel with a different yeast strain.
135,Apple Reserve (Spontaneous),https://untappd.com/SchrammsMead,Mead - Cyser,14% ABV,N/A IBU,(4.47),95 Ratings,Added 01/15/17,Apple Reserve using spontaneous fermentation.
136,The Rocket (R-2),https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.26),95 Ratings,Added 04/20/17,The Rocket pineapple mrlomel with an experimental yeast strain.
137,Valentine,https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.5),100 Ratings,Added 09/28/18,. Mead made with black currant and Maravilla red raspberry.
138,The Statement (Lutowka),https://untappd.com/SchrammsMead,Mead - Melomel,14% ABV,N/A IBU,(4.64),75 Ratings,Added 10/02/16,
139,Mambo In Your Mouth,https://untappd.com/SchrammsMead,Mead - Melomel,N/A ABV,N/A IBU,(4.25),62 Ratings,Added 07/28/14,The blend of many berries and a full-bodied but dry mead makes for a tongue-dancing spectacle of flavors that darts quickly from being like a fine Bordeaux… Read More
